Comentário,Nota
e um cartão que não falha na hora que a gente mais precisa .,10
tenho há anos e vocês não aumentam o limite ! !,0
o limite é muito pouco,7
preços altos e promoções realizada em dias impropio para compras.geralmente ocorrem no final do mês aonde fica difícil fazer compras . gostaria que tivesse mais promoções principalmente no setor grãos e carnes !,9
não estou satisfeita com o cartão pois o limite de compra a vista e muito pouco,1
muito útil,9
pode comprar em qualquer estabelecimento,10
limite bom,9
amo compra no .,10
anuidade todo mes tem que pagar .,5
"tem anos com esse cartão não aumenta meu limite , não tem um aplicativo para acompanhar as compras ou seja benéfico nenhum , vou cancelar , anuidade sempre aumentando ou seja propaganda engonasa",0
facilidade na compra,10
pq eu gostei muito do cartão cercosud ficor feliz por usa ele,10
deveriam melhorar a forma do uso do cartão . com a opção de rotativo e parcelado,3
pq eu já tenho quase 10 ano de cartão  e vcs não aumentar meu limite,6
atendimento,10
limite do cartão,10
sempre uso o meu cartão com facilidade e sem burocracia . tudo simples e rápido . do jeito que eu gosto . gratidão .,10
"logo após a compra , agente fica sabendo por sms , a compra feita , e o limite restante .",10
muito pouco o limite do cartão por risso uso mas outro cartão,8
"hj em dia praticamente nenhuma instituição de cartão não cobra mais anuidade , más vcs continuam cobrando . em breve vou cancelar esse cartão do .",4
"nuitade fixa 16,99 limite de 8 mil fora as vantagrm em compra na loja ",10
"sem problemas na hora da transação , faturas por e-mail e também pelo app . por enquanto estou satisfeita . ficaria melhor se a rede tivessem preços pouco melhores / menores no mais tá tudo certo .",10
ainda não tenho o que reclamar,10
anuidade do cartão muito alta .,1
mais que demais,10
meu limite nao aumenta,5
muito bom,8
descontos em vários produtos,8
aceita em várias lojas,9
ruim de limite,0
muito eficaz em descontos,10
porque gostei tive descontos,10
muito bom só mim cômoda um pouco porque o limite não almeta já tenho a muito tempo e não almeta o limite,10
o limite dele demora muito para aumentar é uma burocracia e ele tem duas opções de rotativo e parcelado é péssimo para o meu já tem dois anos e nunca aumentou o limite e eu uso bastante,1
respeito com o cliente .,10
por falta de creditio nu dia 18 eu efetrei o pagamento du meu cartão o limite entrou só ficou 3 dias depois vcs tiraro o limite todo não tenho limite pra compra não por isso não indico esse cartão pra migem,0
tudo de melhor pra todos,10
um cartão que é aceito em todos os lugares e com a menor taxa de seguros,9
porque fui indicada pelomeu cunhado a fazer o cartao e nao teve borocracia,10
gosto muito do parcelamento e desconto exclusivo,10
muito preciso,10
foi muito bem,10
limite,9
a facilidade,10
10 para esse cartão,9
muito bom comprar com cartão muitas facilidades,8
"gosto muito , aceito em todos os lugares .",10
facilidade em parcelamento,10
a minha nota é 10 mais entre outras coisas como o atendimento no caixa poucos caixas funciona fila grande e acho a anuidade muito auta e também não poderia cobrar anuidade quando compramos na própria loja,10
muito bommm,10
"uso prático e fácil , super recomendo ...",10
gostaria de ter mais limite para compras no rotativo,8
porque oferece sempre promoção,9
não está dividido sem juros no mercantil em feira de santana,9
anuidade muito caro,3
"num eventual atraso de pagamento da fatura , o setor de cobrança vira um verdadeiro terrorista a partir do 1º de atraso . os juros não são os melhores do mercado . é melhor comprar com outros cartões . mario caldas",5
anuidade muito cara,2
"não aumenta o limite sem precisar ir ao escritório , já sou cliente a anos e o limite continua o mesmo , e pago a fatura em dias",4
"material , facilidade de comprar , vantagens , rapidez na entrega .",10
estou muito insatisfeita prestes a cancelar o cartão e com várias reclamações de nunca ter o aumento do limite . péssimo isso .,0
bom por causa das promoção mas ficamos limitada de compra um eletro no valor maior pois vc ñ almenta o limite,6
quando vc tiver sem dinheiro é uma ótima saída,10
maravilhoso só preciso de mais créditos,10
seria bom se não tiver anuidade,8
cartão muito ruim paga nem usa já fica sem limite,0
muitas taxas,4
nunca aumentou meu limite .,2
anuidade alta.nao manda a fatura no dia.sempre atrasado ...,1
oh cartão eh bom só demora pra liberar há pós oh pagamento deveria ser mais rápido fica há sugestão obg,9
indicaria com certeza,10
aprovação dele é rápida,10
libera crédito logo após pagamento,10
ele nao deveria cobrar anuidade ja to pensando em cancelar o meu .,2
preço bom e atendimento excelente,9
até hoje não tenho a senha di cartão,1
rapidez na liberação da compra,10
"limite muito baixo , já comprovei renda , e não tive aumento , tenho outros cartões com menos tempo que esse e com limite de crédito bem superior,3.300.00 por exemplo .",1
"porque muitas vezes o cartão não passa em outros estabelecimento , já passei muito constrangimento por isso , mesmo lugares que não tem nada a ver com que tem no .",8
cartão de loja com anuidade,0
entrega super rápida e antes do dia,10
não entendi os valores da nota fiscal,6
cartão perfeito ! ! !,10
.,5
super prático amei muito,10
e muito pratico,10
rápido,10
"único , problema é que vocês aumentava o limite quanto mais eu usava o cartão agora vocês , não faz mais isso .",7
facilidade em comprar e pagar,10
e um cartão muito bom porém o limite tá muito baixo como que faz pra alimentar meu limite,10
sou cliente a anos gostaria que me isentasse da anuidade do cartão grata !,6
o limite poderia ser melhor .,5
facilidade,10
muito satisfeito,10
porque é muito importante pra mim tem um atendimento muito melhor com este cartão muito obrigado mesmo,10
praticidade de pagar e utilizar,10
muito bom cartão só os juros que são bem elevados,8
"muito simples de utilizar . já veio com um limite razoável , bem diferente dos outros cartões . só falta opção de aumento de limite pelo app .",10
uso pra tudo ótimo cart,10
